

Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
games/3DO/boot.rom,https://archive.org/download/mister_bios_db/3DO.zip/boot.rom,1048576,f47264dd47fe30f73ab3c010015c155b,bios,overwrite:false,
games/3DO/kanji.rom,https://archive.org/download/mister_bios_db/3DO.zip/kanji.rom,1048576,c23fb5d5e6bb1c240d02cf968972be37,bios,overwrite:false,
games/Apple-IIgs/boot.rom,https://archive.org/download/mister_bios_db/AppleIIGS.zip/AppleIIGS%2Fboot.rom,262144,ba89edf2729a28a17cd9e0f7a0ac9a39,bios,overwrite:false,
games/Apple-IIgs/boot1.rom,https://archive.org/download/mister_bios_db/AppleIIGS.zip/AppleIIGS%2Fboot1.rom,131072,20a0334c447cb069a040ae5be1d938df,bios,overwrite:false,
games/Astrocade/boot.rom,https://archive.org/download/mister_bios_db/Astrocade.zip/Bally%20Professional%20Arcade%2C%20Astrocade%20%273159%27%20BIOS%20%281978%29%28Bally%20Mfg.%20Corp.%29.bin,8192,7d25a26e5c4841b364cfe6b1735eaf03,bios,overwrite:false,
games/AtariLynx/boot.rom,https://archive.org/download/mister_bios_db/AtariLynx.zip/boot.rom,512,fcd403db69f54290b51035d82f835e7b,bios,overwrite:false,
games/Casio_PV-2000/boot0.rom,https://archive.org/download/mister_bios_db/Casio_PV-2000.zip/hn613128pc64.bin,16384,558540c5c6f776d88a897f2f3b8fec8f,bios,overwrite:false,
games/CD-i/boot0.rom,https://archive.org/download/mister_bios_db/CD-i.zip/boot0.rom,524288,ac0d468be366779c9df633be98da250a,bios,overwrite:false,
games/CD-i/boot1.rom,https://archive.org/download/mister_bios_db/CD-i.zip/boot1.rom,8192,3d20cf7550f1b723158b42a1fd5bac62,bios,overwrite:false,
games/CD-i/boot2.rom,https://archive.org/download/mister_bios_db/CD-i.zip/boot2.rom,131072,9694c466f9b65c1990a81b7a6280546b,bios,overwrite:false,
games/COCO3/boot0.rom,https://archive.org/download/mister_bios_db/CoCo3.zip/boot0.rom,32768,7233c6c429f3ce1c7392f28a933e0b6f,bios,overwrite:false,
games/COCO3/boot1.rom,https://archive.org/download/mister_bios_db/CoCo3.zip/boot1.rom,8192,8cab28f4b7311b8df63c07bb3b59bfd5,bios,overwrite:false,
games/COCO3/boot2.rom,https://archive.org/download/mister_bios_db/CoCo3.zip/boot2.rom,8192,171fb7a5d3b808565295b45c773abaaf,bios,overwrite:false,
games/CreatiVision/boot.rom,https://archive.org/download/mister_bios_db/CreatiVision.zip/Laser_2001_Bootrom.rom,16384,4dfadfb1158f84e2df2b85b13f303986,bios,overwrite:false,
games/Gamate/boot.rom,https://archive.org/download/mister_bios_db/Gamate.zip/Gamate/gamate_boot.rom,4096,ef67993a94503c4b7798b5901c7dda52,bios,overwrite:false,
games/GAMEBOY/boot1.rom,https://archive.org/download/mister_bios_db/Gameboy.zip/GBC_boot_ROM.gb,2304,dbfce9db9deaa2567f6a84fde55f9680,bios,overwrite:false,
games/GameCom/boot.rom,https://archive.org/download/mister_bios_db/GameCom.zip/GameCom%20External%20BIOS%20%28Kitrinx%20v0.03%29.bin,262144,3f2178d717dd309ed7424d49ef92987f,bios,overwrite:false,
games/GBA/boot.rom,https://archive.org/download/mister_bios_db/GBA.zip/gba_bios.bin,16384,a860e8c0b6d573d191e4ec7db1b1e4f6,bios,overwrite:false,
games/Intellivision/boot0.rom,https://archive.org/download/mister_bios_db/Intellivision.zip/Executive%20ROM%2C%20The%20%281978%29%28Mattel%29.bin,8192,62e761035cb657903761800f4437b8af,bios,overwrite:false,
games/Intellivision/boot1.rom,https://archive.org/download/mister_bios_db/Intellivision.zip/GROM%2C%20The%20%281978%29%28General%20Instruments%29.bin,2048,0cd5946c6473e42e8e4c2137785e427f,bios,overwrite:false,
games/Intellivision/boot2.rom,https://archive.org/download/mister_bios_db/Intellivision.zip/IntelliVoice%20BIOS%20%281981%29%28Mattel%29.bin,2048,d5530f74681ec6e0f282dab42e6b1c5f,bios,overwrite:false,
games/Intellivision/boot3.rom,https://archive.org/download/mister_bios_db/Intellivision.zip/Entertainment%20Computer%20System%27s%20EXEC-BASIC%20ROM%2C%20The%20%281978%29%28Mattel%29.bin,24576,2e72a9a2b897d330a35c8b07a6146c52,bios,overwrite:false,
games/Interact/boot.rom,https://archive.org/download/mister_bios_db/Interact.zip/Interact_ROM.bin,2048,aa9fb0e9697a009dfb9d876351dd8f48,bios,overwrite:false,
games/Jaguar/boot.rom,https://archive.org/download/mister_bios_db/Jaguar.zip/Jaguar%2Fboot.rom,131072,6e844759720226e58d55ecaf33608a13,bios,overwrite:false,
games/Jaguar/boot1.rom,https://archive.org/download/mister_bios_db/Jaguar.zip/Jaguar%2Fboot1.rom,262144,18f0741bdb8bb9b6bb99393cb90426a2,bios,overwrite:false,
games/Jaguar/boot2.rom,https://archive.org/download/mister_bios_db/Jaguar.zip/Jaguar%2Fboot2.rom,131072,4af00f1c26898cf04585e1693d25faba,bios,overwrite:false,
games/MegaCD/boot.rom,https://archive.org/download/mister_bios_db/MegaCD.zip/US%20Sega%20CD%202%20%28Region%20Free%29%20930601%20l_oliveira.bin,131072,14db9657bbaa6fbb9249752424dc0ce4,bios,overwrite:false,
games/MegaCD/Europe/cd_bios.rom,https://archive.org/download/mister_bios_db/MegaCD.zip/%5BBIOS%5D%20Mega-CD%202%20%28Europe%29%20%28v2.00%29.md,131072,9b562ebf2d095bf1dabadbc1881f519a,bios,overwrite:false,
games/MegaCD/Japan/cd_bios.rom,https://archive.org/download/mister_bios_db/MegaCD.zip/%5BBIOS%5D%20Mega-CD%202%20%28Japan%29%20%28v2.00C%29.md,131072,683a8a9e273662561172468dfa2858eb,bios,overwrite:false,
games/MegaCD/USA/cd_bios.rom,https://archive.org/download/mister_bios_db/MegaCD.zip/%5BBIOS%5D%20Sega%20CD%202%20%28USA%29%20%28v2.00%29.md,131072,310a9081d2edf2d316ab38813136725e,bios,overwrite:false,
games/MSX1/boot.rom,https://archive.org/download/mister_bios_db/MSX1.zip/vg8020_basic-bios1.rom,32768,a0452dbf5ace7d2e49d0a8029efed09a,bios,overwrite:false,
games/N64/boot.rom,https://archive.org/download/mister_bios_db/N64.zip/boot.rom,1984,5C124E7948ADA85DA603A522782940D0,bios,overwrite:false,
games/N64/boot1.rom,https://archive.org/download/mister_bios_db/N64.zip/boot1.rom,1984,D4232DC935CAD0650AC2664D52281F3A,bios,overwrite:false,
games/N64/boot3.rom,https://archive.org/download/mister_bios_db/N64.zip/boot3.rom,4194304,8d3d9f294b6e174bc7b1d2fd1c727530,bios,overwrite:false,
games/N64/boot4.rom,https://archive.org/download/mister_bios_db/N64.zip/boot4.rom,4194304,aad37b1492886b892f1821f37fd3ae34,bios,overwrite:false,
games/N64/boot5.rom,https://archive.org/download/mister_bios_db/N64.zip/boot5.rom,4194304,37c36e4286d36892a9fc70eafe4104be,bios,overwrite:false,
games/NeoGeoPocket/boot.rom,https://archive.org/download/mister_bios_db/NeoGeoPocket.zip/boot.rom,65536,43d0d53c69c12cc0d28f197717a1bb06,bios,overwrite:false,
games/NeoGeo-CD/neocd.bin,https://archive.org/download/mister_bios_db/NeoGeoCD.zip/neocd.bin,524288,f39572af7584cb5b3f70ae8cc848aba2,bios,overwrite:false,
games/NeoGeo-CD/top-sp1.bin,https://archive.org/download/mister_bios_db/NeoGeoCD.zip/top-sp1.bin,524288,122aee210324c72e8a11116e6ef9c0d0,bios,overwrite:false,
games/NEOGEO/000-lo.lo,https://archive.org/download/mister_bios_db/NeoGeo.zip/000-lo.lo,131072,fc7599f3f871578fe9a0453662d1c966,bios,overwrite:false,
games/NEOGEO/neo-epo.sp1,https://archive.org/download/mister_bios_db/NeoGeo.zip/neo-epo.sp1-AES_BIOS,131072,b11751ad42879c461d64ad2b7b2b0129,bios,overwrite:false,
games/NEOGEO/sfix.sfix,https://archive.org/download/mister_bios_db/NeoGeo.zip/sfix.sfix,131072,aa2b5d0eae4158ffc0d7d63481c7830b,bios,overwrite:false,
games/NEOGEO/sp-s2.sp1,https://archive.org/download/mister_bios_db/NeoGeo.zip/sp-s2.sp1-MVS_BIOS,131072,2968f59f44bf328639aa79391aeeeab4,bios,overwrite:false,
games/NES/boot0.rom,https://archive.org/download/mister_bios_db/NES.zip/fds-bios.rom,8192,ca30b50f880eb660a320674ed365ef7a,bios,overwrite:false,
games/PC8801/boot.rom,https://archive.org/download/mister_bios_db/PC88.zip/PC8801%20MKII%20SR%20BIOS.rom,393216,f1ce4d5f83717093982e5f75516b8f3c,bios,overwrite:false,
games/PocketChallengeV2/boot.rom,https://archive.org/download/mister_bios_db/WonderSwan.zip/boot.rom,4096,54b915694731cc22e07d3fb8a00ee2db,bios mgl-bios,overwrite:false,
games/PocketChallengeV2/boot1.rom,https://archive.org/download/mister_bios_db/WonderSwan.zip/boot1.rom,8192,880893bd5a7d53fff826bd76a83d566e,bios mgl-bios,overwrite:false,
games/PokemonMini/boot.rom,https://archive.org/download/mister_bios_db/PokemonMini.zip/PokemonMini%2F%5BBIOS%5D%20Nintendo%20Pokemon%20Mini%20%28World%29.min,4096,1e4fb124a3a886865acb574f388c803d,bios,overwrite:false,
games/PSX/boot.rom,https://archive.org/download/mister_bios_db/PSX.zip/SCPH7001.BIN,524288,1e68c231d0896b7eadcad1d7d8e76129,bios,overwrite:false,
